Date,Open,High,Low,Close,Volume,Company
2021-04-01,121.9000015258789,122.0999984741211,120.37999725341797,121.6500015258789,1696900,HLT
2021-04-05,123.12000274658203,126.0999984741211,122.98999786376953,125.4000015258789,2261100,HLT
2021-04-06,125.55000305175781,127.54000091552734,125.5,126.66000366210938,1719500,HLT
2021-04-07,126.97000122070312,127.31999969482422,124.26000213623047,124.5199966430664,1803800,HLT
2021-04-08,124.37000274658203,126.12999725341797,122.80999755859375,124.75,1847100,HLT
2021-04-09,124.4000015258789,124.45999908447266,122.37000274658203,124.3499984741211,921500,HLT
2021-04-12,124.4800033569336,125.44000244140625,122.47000122070312,125.27999877929688,2057800,HLT
2021-04-13,123.77999877929688,126.87000274658203,122.43000030517578,126.11000061035156,3377700,HLT
2021-04-14,126.0,128.27999877929688,125.63999938964844,126.5199966430664,2461100,HLT
2021-04-15,127.37000274658203,127.8499984741211,125.77999877929688,127.27999877929688,1193000,HLT
2021-04-16,128.52000427246094,129.0500030517578,127.55000305175781,128.0500030517578,1721300,HLT
2021-04-19,127.48999786376953,127.7300033569336,125.26000213623047,125.93000030517578,1451000,HLT
2021-04-20,124.94999694824219,125.30000305175781,120.66999816894531,122.22000122070312,2328500,HLT
2021-04-21,122.51000213623047,123.97000122070312,121.30999755859375,123.91000366210938,1329400,HLT
2021-04-22,123.44000244140625,126.7699966430664,122.8499984741211,125.5,2235300,HLT
2021-04-23,125.94000244140625,127.43000030517578,125.55999755859375,127.4000015258789,1394600,HLT
2021-04-26,128.60000610351562,130.19000244140625,127.12000274658203,127.56999969482422,1357400,HLT
2021-04-27,127.72000122070312,130.35000610351562,127.58999633789062,130.00999450683594,1712900,HLT
2021-04-28,129.82000732421875,130.25,128.9600067138672,129.11000061035156,1328800,HLT
2021-04-29,130.8800048828125,132.69000244140625,128.4499969482422,130.38999938964844,1597000,HLT
2021-04-30,129.7100067138672,130.05999755859375,127.58000183105469,128.6999969482422,1263900,HLT
2021-05-03,129.63999938964844,130.1699981689453,128.38999938964844,128.6699981689453,1375300,HLT
2021-05-04,128.1699981689453,128.85000610351562,125.69000244140625,128.25,2574900,HLT
2021-05-05,127.11000061035156,128.11000061035156,122.31999969482422,122.62000274658203,3767400,HLT
2021-05-06,122.1500015258789,122.7300033569336,119.47000122070312,120.7699966430664,3108500,HLT
2021-05-07,121.19999694824219,123.54000091552734,119.80000305175781,123.44000244140625,2097100,HLT
2021-05-10,122.47000122070312,123.69999694824219,121.08000183105469,121.58000183105469,2219000,HLT
2021-05-11,119.26000213623047,122.16000366210938,118.16000366210938,121.83000183105469,1640400,HLT
2021-05-12,121.02999877929688,122.26000213623047,117.54000091552734,118.29000091552734,1984200,HLT
2021-05-13,118.83999633789062,121.16000366210938,118.2300033569336,120.16000366210938,1648500,HLT
2021-05-14,121.29000091552734,124.43000030517578,120.44999694824219,123.61000061035156,1470700,HLT
2021-05-17,123.43000030517578,123.43000030517578,120.38999938964844,121.70999908447266,1428900,HLT
2021-05-18,122.1500015258789,123.37000274658203,120.72000122070312,120.79000091552734,2237100,HLT
2021-05-19,118.23999786376953,120.66000366210938,117.88999938964844,120.56999969482422,1511900,HLT
2021-05-20,120.70999908447266,121.19999694824219,119.05000305175781,120.58000183105469,1484400,HLT
2021-05-21,121.31999969482422,122.22000122070312,120.69999694824219,120.9800033569336,1429500,HLT
2021-05-24,122.08999633789062,123.9000015258789,121.31999969482422,123.58999633789062,2057700,HLT
2021-05-25,124.62999725341797,125.30999755859375,123.3499984741211,123.80000305175781,1374200,HLT
2021-05-26,124.41999816894531,126.4000015258789,123.91999816894531,126.22000122070312,1523000,HLT
2021-05-27,127.0,127.68000030517578,125.11000061035156,126.2699966430664,2395700,HLT
2021-05-28,125.9000015258789,126.31999969482422,124.38999938964844,125.2699966430664,893700,HLT
2021-06-01,127.5999984741211,127.5999984741211,125.80000305175781,126.61000061035156,1489100,HLT
2021-06-02,126.87999725341797,127.0,124.55999755859375,125.16999816894531,1462100,HLT
2021-06-03,124.12999725341797,124.5,122.19000244140625,123.12999725341797,1331400,HLT
2021-06-04,123.75,124.81999969482422,122.93000030517578,124.75,1657100,HLT
2021-06-07,125.52999877929688,125.80999755859375,124.52999877929688,124.9000015258789,1353900,HLT
2021-06-08,125.16999816894531,128.16000366210938,124.76000213623047,127.83999633789062,1978500,HLT
2021-06-09,128.35000610351562,128.77000427246094,126.37999725341797,126.44999694824219,1508900,HLT
2021-06-10,126.79000091552734,127.2699966430664,125.26000213623047,126.58999633789062,1741800,HLT
2021-06-11,126.79000091552734,128.74000549316406,126.61000061035156,128.61000061035156,1590000,HLT
2021-06-14,128.35000610351562,129.85000610351562,127.58999633789062,128.61000061035156,1571100,HLT
2021-06-15,128.3699951171875,129.97000122070312,128.1300048828125,129.25,2571100,HLT
2021-06-16,129.47999572753906,129.80999755859375,126.5,126.93000030517578,1970600,HLT
2021-06-17,127.01000213623047,128.22999572753906,125.26000213623047,126.23999786376953,1857900,HLT
2021-06-18,124.48999786376953,125.20999908447266,123.38999938964844,123.72000122070312,2006600,HLT
2021-06-21,124.56999969482422,126.87000274658203,123.56999969482422,126.73999786376953,2280900,HLT
2021-06-22,126.86000061035156,126.91999816894531,125.3499984741211,126.0999984741211,1394200,HLT
2021-06-23,125.80000305175781,126.41000366210938,125.4000015258789,125.68000030517578,1007500,HLT
2021-06-24,126.7699966430664,126.81999969482422,124.25,124.51000213623047,1645200,HLT
